id,Dimer_Name,Dimer_SMILES,Component_Name_A,Component_SMILES_A,Component_Name_B,Component_SMILES_B,Component_A_Energy_Hatree,Component_B_Energy_Hatree,Component_B_Thermal_correction_to_Gibbs_Free_Energy_Hatree,Component_B_Thermal_correction_to_Enthalpy_Hatree,Component_B_Entropy_J_per_mol_K,Component_A_HOMO_Hatree,Component_B_HOMO_Hatree,Component_A_Dipole_Debye,Component_B_Dipole_Debye,Component_A_LUMO_Hatree,Component_B_LUMO_Hatree,Component_B_Gibbs_Free_Energy_Hatree,Component_B_Enthalpy_Hatree,Dimer_Energy_Hatree,Dimer_Thermal_correction_to_Gibbs_Free_Energy_Hatree,Dimer_Thermal_correction_to_Enthalpy_Hatree,Dimer_Entropy_J_per_mol_K,Dimer_HOMO_Hatree,Dimer_LUMO_Hatree,Dimer_Dipole_Debye,Dimer_Gibbs_Free_Energy_Hatree,Dimer_Enthalpy_Hatree,Binding_energy_kJ_per_mol,Software,Source,Theory_Level
4208,Li+_electrolyte11,COC(C)OC.[Li+],Li+,[Li+],electrolyte11,COC(C)OC,-7.2811983,-308.8220232,0.105068,0.145211,353.497792,-2.3488,-0.25696,-7.2849058,-308.9691926,-0.25486,0.03554,-308.7169552,-308.6768122,-316.1776244,0.104182,0.14879,392.8148400000001,-0.4356,-0.19866,-316.3384768,-316.0734424,-316.0288344,-195.3448139499882,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4209,Li+_electrolyte12,CCCOCC.[Li+],Li+,[Li+],electrolyte12,CCCOCC,-7.2811983,-272.9200846,0.126795,0.168653,368.593664,-2.3488,-0.25549,-7.2849058,-273.075087,-0.25486,0.04334,-272.7932896,-272.7514316,-280.2752937,0.128151,0.172677,392.095192,-0.44908,-0.1883,-280.4423199,-280.1471427,-280.1026167,-194.3153553999905,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4210,Li+_electrolyte13,CCOCOC.[Li+],Li+,[Li+],electrolyte13,CCOCOC,-7.2811983,-308.8280941,0.104747,0.145838,361.844872,-2.3488,-0.27166,-7.2849058,-308.9772635,-0.25486,0.0439,-308.7233471,-308.6822561,-316.1337898,0.102965,0.14876,403.262288,-0.38882,-0.22267,-316.2903035,-316.0308248,-315.9850298,-64.31792370007813,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4211,Li+_electrolyte14,COCC(C)C.[Li+],Li+,[Li+],electrolyte14,COCC(C)C,-7.2811983,-272.9195846,0.126927,0.168228,363.6942,-2.3488,-0.25807,-7.2849058,-273.0734142,-0.25486,0.04199,-272.7926576,-272.7513566,-280.2730621,0.128397,0.172461,388.032528,-0.45458,-0.1888,-280.4390196,-280.1446651,-280.1006011,-189.7690396000667,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4212,Li+_electrolyte15,CCCCOC.[Li+],Li+,[Li+],electrolyte15,CCCCOC,-7.2811983,-272.9169248,0.127084,0.168821,367.539296,-2.3488,-0.25793,-7.2849058,-273.0710749,-0.25486,0.03886,-272.7898408,-272.7481038,-280.2733499,0.129779,0.173047,381.011776,-0.45273,-0.18532,-280.4395727,-280.1435709,-280.1003029,-197.5079634001383,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4213,Li+_electrolyte16,COCCOC.[Li+],Li+,[Li+],electrolyte16,COCCOC,-7.2811983,-308.8117241,0.104211,0.145505,363.63144,-2.3488,-0.23891,-7.2849058,-308.9596525,-0.25486,0.04979,-308.7075131,-308.6662191,-316.1982043,0.107223,0.150333,379.622688,-0.449,-0.17321,-316.362136,-316.0909813,-316.0478713,-276.4176284500596,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4214,Li+_electrolyte17,CC1CCCO1.[Li+],Li+,[Li+],electrolyte17,CC1CCCO1,-7.2811983,-271.7235709,0.109301,0.146941,331.45648,-2.3488,-0.24488,-7.2849058,-271.8651856,-0.25486,0.03888,-271.6142699,-271.5766299,-279.0788369,0.109758,0.150863,361.9703920000001,-0.44567,-0.19454,-279.2327333,-278.9690789,-278.9279739,-194.4647463500013,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4215,Li+_electrolyte18,CC1COCO1.[Li+],Li+,[Li+],electrolyte18,CC1COCO1,-7.2811983,-307.6316004,0.08672,0.123729,325.900128,-2.3488,-0.25943,-7.2849058,-307.766941,-0.25486,0.03928,-307.5448804,-307.5078714,-314.975935,0.087017,0.127446,356.01656,-0.43557,-0.20251,-315.1244588,-314.888918,-314.848489,-165.7643556499908,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4216,Li+_electrolyte19,CC1OCCO1.[Li+],Li+,[Li+],electrolyte19,CC1OCCO1,-7.2811983,-307.6354754,0.086556,0.123583,326.054936,-2.3488,-0.26005,-7.2849058,-307.7705732,-0.25486,0.04265,-307.5489194,-307.5118924,-314.9816513,0.086818,0.127304,356.51864,-0.43838,-0.20037,-315.1296816,-314.8948333,-314.8543473,-170.598688800053,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4217,Li+_electrolyte20,CC1CCOC1.[Li+],Li+,[Li+],electrolyte20,CC1CCOC1,-7.2811983,-271.7195336,0.109551,0.147106,330.707544,-2.3488,-0.24487,-7.2849058,-271.8609344,-0.25486,0.03676,-271.6099826,-271.5724276,-279.072347,0.110429,0.151203,359.045776,-0.44611,-0.1981,-279.2258306,-278.961918,-278.921144,-188.0254450500811,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4218,Li+_electrolyte21,C1CCOCC1.[Li+],Li+,[Li+],electrolyte21,C1CCOCC1,-7.2811983,-271.7255689,0.112634,0.147871,310.293808,-2.3488,-0.25053,-7.2849058,-271.8667155,-0.25486,0.04236,-271.6129349,-271.5776979,-279.076435,0.112623,0.151851,345.447776,-0.44239,-0.20015,-279.2297395,-278.963812,-278.924584,-182.9128089001246,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4219,Li+_electrolyte22,C1COCCO1.[Li+],Li+,[Li+],electrolyte22,C1COCCO1,-7.2811983,-307.6259052,0.089581,0.12437,306.348296,-2.3488,-0.24275,-7.2849058,-307.7604483,-0.25486,0.04918,-307.5363242,-307.5015352,-314.9690014,0.089443,0.12818,341.117336,-0.40425,-0.20627,-315.1164581,-314.8795584,-314.8408214,-162.5129364500512,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4220,Li+_electrolyte23,C1COCOC1.[Li+],Li+,[Li+],electrolyte23,C1COCOC1,-7.2811983,-307.6343572,0.090046,0.124697,305.134936,-2.3488,-0.26752,-7.2849058,-307.7692472,-0.25486,0.04294,-307.5443112,-307.5096602,-314.985607,0.091238,0.128437,327.573728,-0.46545,-0.18973,-315.1331096,-314.894369,-314.85717,-183.9202132500884,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4221,Li+_electrolyte24,C1OCOCO1.[Li+],Li+,[Li+],electrolyte24,C1OCOCO1,-7.2811983,-343.5474717,0.067688,0.101665,299.202024,-2.3488,-0.28545,-7.2849058,-343.6758867,-0.25486,0.04433,-343.4797837,-343.4458067,-350.90043,0.068909,0.105295,320.419088,-0.50557,-0.18588,-351.0415868,-350.831521,-350.795135,-188.4058799999564,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4222,Li+_electrolyte25,CCOC(C)(C)C.[Li+],Li+,[Li+],electrolyte25,CCOC(C)(C)C,-7.2811983,-312.2292873,0.152567,0.196117,383.497072,-2.3488,-0.25021,-7.2849058,-312.4072219,-0.25486,0.03659,-312.0767203,-312.0331703,-319.5918942,0.151874,0.199737,421.483608,-0.44464,-0.18791,-319.7824002,-319.4400202,-319.3921572,-213.7382793000829,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4223,Li+_electrolyte26,CCC(C)(C)OC.[Li+],Li+,[Li+],electrolyte26,CCC(C)(C)OC,-7.2811983,-312.2284678,0.152175,0.196314,388.689416,-2.3488,-0.25313,-7.2849058,-312.4057943,-0.25486,0.03795,-312.0762928,-312.0321538,-319.5860263,0.154277,0.200404,406.191088,-0.44297,-0.18489,-319.7759674,-319.4317493,-319.3856223,-200.4837051001769,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4224,Li+_electrolyte27,COC(C)(C)OC.[Li+],Li+,[Li+],electrolyte27,COC(C)(C)OC,-7.2811983,-348.1296073,0.129887,0.172743,377.388432,-2.3488,-0.24892,-7.2849058,-348.3003182,-0.25486,0.03481,-347.9997203,-347.9568642999999,-355.5133364,0.128892,0.177351,426.734528,-0.44418,-0.17095,-355.7007044,-355.3844444,-355.3359854,-269.1946154001779,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4225,Li+_electrolyte28,CC(C)OC(C)C.[Li+],Li+,[Li+],electrolyte28,CC(C)OC(C)C,-7.2811983,-312.2237549,0.153764,0.196738,378.430248,-2.3488,-0.24917,-7.2849058,-312.4022995,-0.25486,0.03662,-312.0699909,-312.0270169,-319.5866054,0.152006,0.200059,423.157208,-0.4417,-0.19158,-319.777614,-319.4345994,-319.3865464,-214.3778511000203,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4226,Li+_electrolyte29,CCOC(C)CC.[Li+],Li+,[Li+],electrolyte29,CCOC(C)CC,-7.2811983,-312.2241661,0.153019,0.197173,388.814936,-2.3488,-0.25057,-7.2849058,-312.4031066,-0.25486,0.03918,-312.0711471,-312.0269931,-319.582932,0.154567,0.200926,408.237064,-0.43919,-0.18589,-319.7738571,-319.428365,-319.382006,-203.6537338000235,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4227,Li+_electrolyte30,CCCOC(C)C.[Li+],Li+,[Li+],electrolyte30,CCCOC(C)C,-7.2811983,-312.2192431,0.152906,0.197108,389.241704,-2.3488,-0.24811,-7.2849058,-312.3984231,-0.25486,0.03948,-312.0663371000001,-312.0221351,-319.5893788,0.153008,0.200774,420.6342560000001,-0.44396,-0.18414,-319.7806328,-319.4363708,-319.3886048,-233.5051437000532,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4228,Li+_electrolyte31,COCOC(C)C.[Li+],Li+,[Li+],electrolyte31,COCOC(C)C,-7.2811983,-348.1352441,0.129633,0.174163,392.12448,-2.3488,-0.26747,-7.2849058,-348.3089026,-0.25486,0.0398,-348.0056111,-347.9610811,-355.5051133,0.129327,0.178208,430.441552,-0.44614,-0.17189,-355.6930485,-355.3757863,-355.3269053,-232.8054479500288,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4229,Li+_electrolyte32,COC(C)C(C)C.[Li+],Li+,[Li+],electrolyte32,COC(C)C(C)C,-7.2811983,-312.2249725,0.152665,0.196833,388.940456,-2.3488,-0.25249,-7.2849058,-312.4024348,-0.25486,0.03896,-312.0723075,-312.0281395,-319.5808458,0.154073,0.200628,409.9608720000001,-0.44158,-0.18734,-319.7703008,-319.4267728,-319.3802178,-196.0592125000351,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4230,Li+_electrolyte33,CCC(CC)OC.[Li+],Li+,[Li+],electrolyte33,CCC(CC)OC,-7.2811983,-312.2191429,0.153464,0.197488,387.66852,-2.3488,-0.24876,-7.2849058,-312.3967154,-0.25486,0.03564,-312.0656789,-312.0216549,-319.5712726,0.153216,0.201453,424.776416,-0.4388,-0.19855,-319.7613975,-319.4180566,-319.3698196,-186.2303907000166,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4231,Li+_electrolyte34,CCCC(C)OC.[Li+],Li+,[Li+],electrolyte34,CCCC(C)OC,-7.2811983,-312.2216974,0.152687,0.197217,392.128664,-2.3488,-0.25282,-7.2849058,-312.3997048,-0.25486,0.04158,-312.0690104,-312.0244804,-319.5489038,0.153711,0.200359,410.780936,-0.40619,-0.19219,-319.7366898,-319.3951928,-319.3485448,-120.7942665501349,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4232,Li+_electrolyte35,COCC(C)OC.[Li+],Li+,[Li+],electrolyte35,COCC(C)OC,-7.2811983,-348.1209436,0.12903,0.173931,395.400552,-2.3488,-0.25523,-7.2849058,-348.293244,-0.25486,0.04068,-347.9919136,-347.9470126,-355.4687726,0.130566,0.177963,417.370736,-0.40202,-0.19248,-355.6540113,-355.3382066,-355.2908096,-174.9389028501986,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4233,Li+_electrolyte36,CCOC(C)OC.[Li+],Li+,[Li+],electrolyte36,CCOC(C)OC,-7.2811983,-348.1292174,0.130488,0.173955,382.769056,-2.3488,-0.25558,-7.2849058,-348.3020726,-0.25486,0.03512,-347.9987294,-347.9552624,-355.5116642,0.130139,0.178012,421.567288,-0.4475,-0.17057,-355.6998389,-355.3815252,-355.3336522,-265.827936749992,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4234,Li+_electrolyte37,CCC(OC)OC.[Li+],Li+,[Li+],electrolyte37,CCC(OC)OC,-7.2811983,-348.1361991,0.129963,0.174153,389.13292,-2.3488,-0.26644,-7.2849058,-348.308949,-0.25486,0.04619,-348.0062361,-347.9620461,-355.484903,0.130162,0.177757,419.119648,-0.43036,-0.19276,-355.6707396,-355.354741,-355.307146,-177.2359528000106,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4235,Li+_electrolyte38,CCOCC(C)C.[Li+],Li+,[Li+],electrolyte38,CCOCC(C)C,-7.2811983,-312.2269099,0.151874,0.197043,397.756144,-2.3488,-0.2558,-7.2849058,-312.4059803,-0.25486,0.04144,-312.0750359,-312.0298669,-319.5834746,0.153674,0.201145,418.02344,-0.44563,-0.18607,-319.7744858,-319.4298006,-319.3823296,-197.8744832000188,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4236,Li+_electrolyte39,CCCOCCC.[Li+],Li+,[Li+],electrolyte39,CCCOCCC,-7.2811983,-312.2267839,0.152187,0.197499,399.015528,-2.3488,-0.25701,-7.2849058,-312.4063959,-0.25486,0.04185,-312.0745969,-312.0292849,-319.5798818,0.153096,0.201567,426.83076,-0.44068,-0.18701,-319.7714165,-319.4267858,-319.3783148,-188.7723998001354,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4237,Li+_electrolyte40,CCCCOCC.[Li+],Li+,[Li+],electrolyte40,CCCCOCC,-7.2811983,-312.2242693,0.152076,0.197645,401.274888,-2.3488,-0.25577,-7.2849058,-312.4036908,-0.25486,0.0396,-312.0721933,-312.0266243,-319.5449761,0.151961,0.201069,432.441504,-0.3832,-0.20783,-319.7319628,-319.3930151,-319.3439071,-103.7295667498792,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4238,Li+_electrolyte41,CCOCCOC.[Li+],Li+,[Li+],electrolyte41,CCOCCOC,-7.2811983,-348.1200914,0.129521,0.174303,394.3461840000001,-2.3488,-0.23851,-7.2849058,-348.2934335,-0.25486,0.04661,-347.9905704,-347.9457884,-355.4738157,0.131962,0.178112,406.400288,-0.4251,-0.18417,-355.6607367,-355.3418537,-355.2957037,-190.4170130001023,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4239,Li+_electrolyte42,CCCOCOC.[Li+],Li+,[Li+],electrolyte42,CCCOCOC,-7.2811983,-348.1345213,0.129776,0.174655,395.19972,-2.3488,-0.27303,-7.2849058,-348.3079884,-0.25486,0.04443,-348.0047453,-347.9598663,-355.4816378,0.132841,0.178588,402.8522560000001,-0.43272,-0.18803,-355.6682313,-355.3487968,-355.3030498,-173.0682340999966,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4240,Li+_electrolyte43,CCOCOCC.[Li+],Li+,[Li+],electrolyte43,CCOCOCC,-7.2811983,-348.1355671,0.13011,0.17469,392.572168,-2.3488,-0.26984,-7.2849058,-348.3102689,-0.25486,0.04157,-348.0054571,-347.9608771,-355.4860907,0.129421,0.178,427.784712,-0.42511,-0.19453,-355.6727771,-355.3566697,-355.3080907,-182.0135751498578,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4241,Li+_electrolyte44,COCC(C)(C)C.[Li+],Li+,[Li+],electrolyte44,COCC(C)(C)C,-7.2811983,-312.2277274,0.152381,0.196354,387.2292,-2.3488,-0.25899,-7.2849058,-312.4054048,-0.25486,0.03689,-312.0753464,-312.0313734,-319.5819764,0.153658,0.200496,412.454536,-0.45062,-0.18709,-319.7719988,-319.4283184,-319.3814804,-191.7946128500269,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4242,Li+_electrolyte45,CCC(C)COC.[Li+],Li+,[Li+],electrolyte45,CCC(C)COC,-7.2811983,-312.2232341,0.152194,0.197196,396.291744,-2.3488,-0.25767,-7.2849058,-312.4016186,-0.25486,0.04386,-312.0710401,-312.0260381,-319.5797054,0.153691,0.20123,418.63012,-0.45052,-0.17922,-319.770483,-319.4260144,-319.3784754,-197.6292615001007,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4243,Li+_electrolyte46,COCCC(C)C.[Li+],Li+,[Li+],electrolyte46,COCCC(C)C,-7.2811983,-312.2237306,0.15217,0.197166,396.233168,-2.3488,-0.25817,-7.2849058,-312.4019182,-0.25486,0.03914,-312.0715606,-312.0265646,-319.5814275,0.155075,0.201468,408.542496,-0.45032,-0.18306,-319.7719367,-319.4263525,-319.3799595,-200.847074299946,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4244,Li+_electrolyte47,CCCCCOC.[Li+],Li+,[Li+],electrolyte47,CCCCCOC,-7.2811983,-312.2213298,0.152988,0.197815,394.752032,-2.3488,-0.25804,-7.2849058,-312.3996385,-0.25486,0.03705,-312.0683418,-312.0235148,-319.5426869,0.15343,0.200957,418.5171520000001,-0.3783,-0.20561,-319.7287295,-319.3892569,-319.3417299,-105.4369294000756,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4245,Li+_electrolyte48,COCCCOC.[Li+],Li+,[Li+],electrolyte48,COCCCOC,-7.2811983,-348.1126714,0.130156,0.174396,389.580608,-2.3488,-0.25666,-7.2849058,-348.2845252,-0.25486,0.03903,-347.9825154,-347.9382754,-355.5034,0.133059,0.17938,407.89816,-0.44214,-0.16921,-355.6923392,-355.370341,-355.32402,-287.5718026500451,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4246,Li+_electrolyte49,COC(OC)OC.[Li+],Li+,[Li+],electrolyte49,COC(OC)OC,-7.2811983,-384.0424755,0.106971,0.150954,387.31288,-2.3488,-0.26748,-7.2849058,-384.2090579,-0.25486,0.04266,-383.9355045,-383.8915215,-391.4177335,0.108359,0.155249,412.91896,-0.45407,-0.17711,-391.6005093,-391.3093745,-391.2624845,-246.9537423500066,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4247,Li+_electrolyte50,COCOCOC.[Li+],Li+,[Li+],electrolyte50,COCOCOC,-7.2811983,-384.0462233,0.105851,0.150855,396.300112,-2.3488,-0.27453,-7.2849058,-384.2122874,-0.25486,0.04416,-383.9403723,-383.8953683,-391.4177346,0.108358,0.155249,412.923144,-0.45406,-0.17712,-391.6005093,-391.3093766,-391.2624856,-237.1167814999489,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
