id,Name,SMILES,Cation_type,Energy_Hatree,Thermal_correction_to_Gibbs_Free_Energy_Hatree,Thermal_correction_to_Enthalpy_Hatree,Entropy_J_per_mol_K,HOMO_Hatree,LUMO_Hatree,Dipole_Debye,Gibbs_Free_Energy_Hatree,Enthalpy_Hatree,HOMO_LUMO_Gap_eV,Software,Source,Theory_Level
133,c-c19+c-b29+c-b44+c-b80,CCCC[P+](CCCC(C)C)(CC(C)C)CC(C)C,tetraphosphonium ,-1051.0255625,0.477727,0.562181,743.6934480000001,-0.42784,-0.10979,1.5416,-1050.5478355,-1050.4633815,8.65096,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
134,c-c19+c-b6+c-b13+c-b38,C#CCC[P+](CCCC)(CCCN)CCCC#N,tetraphosphonium ,-1038.8452175,0.349718,0.421305,630.3907280000001,-0.36136,-0.11736,3.7783,-1038.4954995,-1038.4239125,6.6368,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
135,c-c19+c-b39+c-b60+c-b65,C=CCC[P+](CCC#CCC)(CCCC)CCOC,tetraphosphonium ,-1083.2297452,0.384061,0.470981,765.416776,-0.35604,-0.12088,3.2641,-1082.8456842,-1082.7587642,6.396352000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
136,c-c19+c-b10+c-b37+c-b73,CCCC[P+](CCC)(CCC(C)C)CCC(C)O,tetraphosphonium ,-1047.6341278,0.430726,0.510804,705.162992,-0.3896,-0.1131,4.8438,-1047.2034018,-1047.1233238,7.520799999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
137,c-c124+c-b47,CCCC[P+](CCCC)(CCCC)CCC(C)(C)C,tetraphosphonium ,-1051.0209329,0.477143,0.562505,751.689072,-0.43171,-0.1081,2.6046,-1050.5437899,-1050.4584279,8.802191999999998,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
138,c-c19+c-b45+c-b58+c-b76,CCCC[P+](CCC(=O)O)(COC)CC(=O)O,tetraphosphonium ,-1149.6242831,0.269348,0.344045,657.775008,-0.40324,-0.14385,2.0457,-1149.3549351,-1149.2802381,7.055408,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
139,c-c19+c-b6+c-b41+c-b76,CCCC[P+](CCCN)(COC)CC1COC(C)(C)O1,tetraphosphonium ,-1212.8957418,0.405511,0.488589,731.580768,-0.36594,-0.1111,7.0172,-1212.4902308,-1212.4071528,6.931647999999998,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
140,c-c19+c-b13+c-b39+c-b77,CCCC[P+](CCCC#N)(CCOC)CCC(F)(F)F,tetraphosphonium ,-1319.6801103,0.322795,0.405209,725.727352,-0.38522,-0.12882,5.0623,-1319.3573153,-1319.2749013,6.97408,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
141,c-c19+c-b58+c-b76+c-b79,CCCC[P+](CCCCO)(CCC(=O)O)COC,tetraphosphonium ,-1154.1875792,0.339298,0.419366,705.0751280000001,-0.38653,-0.12227,0.6247,-1153.8482812,-1153.7682132,7.187872,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
142,c-c2+c-b44,CC[P+](CC)(CC)COCCC(C)C,tetraphosphonium ,-890.3940779,0.322027,0.394312,636.541208,-0.40052,-0.11518,5.6453,-890.0720508999999,-889.9997658999999,7.761247999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
143,c-c19+c-b4+c-b60+c-b73,C=CCC[P+](CCCC)(CCCO)CCC(C)C,tetraphosphonium ,-1046.4010161,0.408355,0.488176,702.8994480000001,-0.38234,-0.1199,1.9795,-1045.9926611,-1045.9128401,7.138368,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
144,c-c19+c-b28+c-b38+c-b44,C#CCC[P+](CCCC)(CCCC=C)CCCC(C)C,tetraphosphonium ,-1086.6263535,0.435126,0.522335,767.956464,-0.36732,-0.11526,2.9532,-1086.1912275,-1086.1040185,6.856031999999998,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
145,c-c19+c-b4+c-b58+c-b76,CCCC[P+](CCCO)(CCC(=O)O)COC,tetraphosphonium ,-1114.8838938,0.315535,0.390626,661.247728,-0.40396,-0.11847,2.7505,-1114.5683588,-1114.4932678,7.765327999999998,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
146,c-c19+c-b47+c-b65+c-b81,CCC#CCC[P+](CCCC)(CCCC)CC(C)(C)C,tetraphosphonium ,-1087.8656646,0.454226,0.545214,801.240184,-0.37387,-0.10638,1.1881,-1087.4114386,-1087.3204506,7.275728,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
147,c-c19+c-b3+c-b10+c-b79,CCCC[P+](CCC)(CCCCO)CC1CCCC1,tetraphosphonium ,-1085.7275602,0.435531,0.519334,737.969736,-0.37509,-0.10836,3.4635,-1085.2920292,-1085.2082262,7.255055999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
148,c-c19+c-b10+c-b30+c-b47,CCCCC[P+](CCC)(CCCC)CC(C)(C)C,tetraphosphonium ,-1011.7175837,0.452066,0.533681,718.698232,-0.43378,-0.10914,2.5717,-1011.2655177,-1011.1839027,8.830207999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
149,c-c19+c-b73+c-b78+c-b81,CCCCCC[P+](CCCC)(CCCC)CCC(C)C,tetraphosphonium ,-1090.326242,0.504596,0.592342,772.688568,-0.42004,-0.11121,3.8791,-1089.821646,-1089.7339,8.400176000000002,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
150,c-c19+c-b6+c-b13+c-b60,C=CCC[P+](CCCC)(CCCN)CCCC#N,tetraphosphonium ,-1040.1462038,0.365404,0.443858,690.8662640000001,-0.36376,-0.13053,4.0369,-1039.7807998,-1039.7023458,6.343855999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
151,c-c19+c-b38+c-b40+c-b60,C#CCC[P+](CCC=C)(CCCC)CN(C)C,tetraphosphonium ,-984.7293685,0.345555,0.423933,690.1926400000001,-0.3555,-0.12331,1.5755,-984.3838135,-984.3054354999999,6.315567999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
152,c-c19+c-b38+c-b47+c-b79,C#CCC[P+](CCCC)(CCCCO)CC(C)(C)C,tetraphosphonium ,-1084.4672817,0.410436,0.493489,731.3632000000001,-0.39405,-0.10634,1.567,-1084.0568457,-1083.9737927,7.825712,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
153,c-c19+c-b28+c-b38+c-b78,C#CCC[P+](CCCC)(CCCC=C)CCCCCC,tetraphosphonium ,-1086.6233142,0.435528,0.52291,769.4836240000001,-0.36749,-0.11509,2.9503,-1086.1877862,-1086.1004042,6.865279999999998,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
154,c-c124+c-b18,CCCC[P+](CCCC)(CCCC)CCC(=O)CC,tetraphosphonium ,-1085.7437413,0.43194,0.517088,749.806272,-0.38812,-0.15747,2.993,-1085.3118013,-1085.2266533,6.273680000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
155,c-c19+c-b39+c-b47+c-b79,CCCC[P+](CCCCO)(CCOC)CC(C)(C)C,tetraphosphonium ,-1122.8334715,0.433207,0.51664,734.7104,-0.38576,-0.11374,2.6669,-1122.4002645,-1122.3168315,7.398943999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
156,c-c19+c-b10+c-b41+c-b60,C=CCC[P+](CCC)(CCCC)CC1COC(C)(C)O1,tetraphosphonium ,-1159.7233003,0.417195,0.499244,722.5265919999999,-0.38165,-0.12229,3.1902,-1159.3061053,-1159.2240563,7.054592,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
157,c-c19+c-b47+c-b79+c-b81,CCCC[P+](CCCC)(CCCCO)CC(C)(C)C,tetraphosphonium ,-1086.9409279,0.457885,0.540299,725.731536,-0.39264,-0.10168,1.8197,-1086.4830429,-1086.4006289,7.914111999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
158,c-c2+c-b76,CC[P+](CC)(CC)COOC,tetraphosphonium ,-808.2992734,0.222344,0.283734,540.5937200000001,-0.3973,-0.14427,2.1335,-808.0769293999999,-808.0155394,6.882415999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
159,c-c19+c-b8+c-b47+c-b76,CC#CCC[P+](CCCC)(COC)CC(C)(C)C,tetraphosphonium ,-1045.1505096,0.382651,0.463668,713.4263920000001,-0.37397,-0.11551,2.5444,-1044.7678586,-1044.6868416,7.030112000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
160,c-c19+c-b4+c-b10+c-b28,C=CCCC[P+](CCC)(CCCC)CCCO,tetraphosphonium ,-1007.0934832,0.38331,0.459777,673.364592,-0.37198,-0.11589,3.0721,-1006.7101732,-1006.6337062,6.965647999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
161,c-c19+c-b29+c-b58+c-b78,CCCCCC[P+](CCCC)(CCC(=O)O)CC(C)C,tetraphosphonium ,-1160.9909127,0.43845,0.523572,749.580336,-0.41872,-0.13451,2.4533,-1160.5524627,-1160.4673407,7.730511999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
162,c-c19+c-b10+c-b30+c-b76,CCCCC[P+](CCC)(CCCC)COC,tetraphosphonium ,-968.9986326,0.377171,0.453348,670.812352,-0.41285,-0.12002,3.8329,-968.6214616,-968.5452846,7.964975999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
163,c-c19+c-b60+c-b76+c-b81,C=CCC[P+](CCCC)(CCCC)COC,tetraphosphonium ,-967.7671856,0.353959,0.429743,667.3563680000001,-0.37724,-0.11979,2.385,-967.4132265999999,-967.3374425999999,7.00264,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
164,c-c125+c-b37,CC[P+](CC)(CC)CCCC(C)O,tetraphosphonium ,-851.1092941,0.30063,0.366627,581.170152,-0.39162,-0.11666,3.5098,-850.8086641000001,-850.7426671000001,7.478912000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
165,c-c19+c-b10+c-b38+c-b81,C#CCC[P+](CCC)(CCCC)CCCC,tetraphosphonium ,-930.6334537,0.355902,0.430329,655.40268,-0.40267,-0.11569,1.6763,-930.2775517,-930.2031247,7.805855999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
166,c-c19+c-b10+c-b16+c-b43,CCCC[P+](CCC)(CCC#N)CCCCC#N,tetraphosphonium ,-1038.9591423,0.343051,0.420755,684.255544,-0.42286,-0.1361,9.2633,-1038.6160913,-1038.5383873,7.799872000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
167,c-c19+c-b4+c-b10+c-b44,CCCC[P+](CCC)(CCCO)CCCC(C)C,tetraphosphonium ,-1047.6306493,0.430355,0.511529,714.811296,-0.39825,-0.11179,3.7796,-1047.2002943,-1047.1191203,7.791712,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
168,c-c19+c-b10+c-b73+c-b78,CCCCCC[P+](CCC)(CCCC)CCC(C)C,tetraphosphonium ,-1051.0212003,0.478983,0.563415,743.500984,-0.42076,-0.11311,4.6889,-1050.5422173,-1050.4577853,8.36808,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
169,c-c19+c-b47+c-b60+c-b78,C=CCC[P+](CCCC)(CCCCCC)CC(C)(C)C,tetraphosphonium ,-1089.0977075,0.480585,0.568314,772.537944,-0.38254,-0.11978,2.7228,-1088.6171225,-1088.5293935,7.147072,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
